Field1_links,image_url,superficie,prix,adresse
https://sn.coinafrique.com/annonce/terrains/terrain-sipres-grand-mbao-4739438,https://images.coinafrique.com/thumb_4739438_uploaded_image1_1715520881.jpg,397 m2,45 000 000 CFA,"Patte d'oie, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-400m-mbour-4742396,https://images.coinafrique.com/thumb_4742396_uploaded_image1_1715676620.jpg,400 ,7 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrain-cite-des-professeur-de-lucad-4785569,https://images.coinafrique.com/thumb_4785569_uploaded_image1_1717804985.jpg,250 m2,120 000 000 CFA,"HLM, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-2078-m2-almadies-4785355,https://images.coinafrique.com/thumb_4785355_uploaded_image1_1717794434.jpg,2078 ,1 300 000 CFA,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m2-angle-a-liberte-6-4785285,https://images.coinafrique.com/thumb_4785285_uploaded_image1_1717791526.jpg,150 m2,80 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-quelques-metres-de-la-sedima-4785106,https://images.coinafrique.com/thumb_4785106_uploaded_image1_1717785517.jpg,150 ,16 000 000 CFA,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-dakar-4738459,https://images.coinafrique.com/thumb_4738459_uploaded_image1_1715449890.jpg,,25 000 000 CFA,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-700m-angle-cite-djily-mbaye-4785033,https://images.coinafrique.com/thumb_4785033_uploaded_image1_1717781775.jpg,700 m2,700 000 CFA,"Almadies 2, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/vente-terrains-hann-bel-air-4784397,https://images.coinafrique.com/thumb_4784397_uploaded_image1_1717760823.jpg,,38 000 000 CFA,"Hann Bel-Air, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-1172m-warang-4742579,https://images.coinafrique.com/thumb_4742579_uploaded_image1_1715682441.jpg,1172 m2,110 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-1200m-mbour-4742587,https://images.coinafrique.com/thumb_4742587_uploaded_image1_1715682708.jpg,1200 m2,135 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-15-ha-tf-tivaoune-4773481,https://images.coinafrique.com/thumb_4773481_uploaded_image1_1717226951.jpg,150000 m2,18 000 CFA,"Thies, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-jumeles-yenne-plateau-4773474,https://images.coinafrique.com/thumb_4773474_uploaded_image1_1717226694.jpg,150 m2,4 500 000 CFA,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-mbao-4740208,https://images.coinafrique.com/thumb_4740208_uploaded_image1_1715558671.jpg,150 ,28 000 000 CFA,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/venterrains-150-sicap-foire-4782852,https://images.coinafrique.com/thumb_4782852_uploaded_image1_1717682774.jpg,150 ,40 000 000 CFA,"Sicap foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-300-malikounda-4782761,https://images.coinafrique.com/thumb_4782761_uploaded_image1_1717679729.jpg,300 ,4 500 000 CFA,"Malikounda, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-apix-4782606,https://images.coinafrique.com/thumb_4782606_uploaded_image1_1717674349.jpg,150 ,32 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-a-saly-center-4766310,https://images.coinafrique.com/thumb_4766310_uploaded_image1_1716895837.jpg,2000 m2,75 000 CFA,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-2ha-mbour-1er-position-sur-la-rn1-4766288,https://images.coinafrique.com/thumb_4766288_uploaded_image1_1716895241.jpg,11722 m2,40 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-292m-mbour-4766272,https://images.coinafrique.com/thumb_4766272_uploaded_image1_1716894767.jpg,292 m2,15 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-26ha-notto-4766267,https://images.coinafrique.com/thumb_4766267_uploaded_image1_1716894596.jpg,260000 m2,4 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-300m-nianing-4746521,https://images.coinafrique.com/thumb_4746521_uploaded_image1_1715855413.jpg,300 m2,4 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-300m-grand-mbour-4751249,https://images.coinafrique.com/thumb_4751249_uploaded_image1_1716105546.jpg,,16 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-339m-almadies-4738864,https://images.coinafrique.com/thumb_4738864_uploaded_image1_1715476815.jpg,339 ,300 000 000 CFA,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150-keur-massar-tivaouane-peulh-4781351,https://images.coinafrique.com/thumb_4781351_uploaded_image1_1717768497.jpg,150 ,5 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-keur-massar-apix-4781344,https://images.coinafrique.com/thumb_4781344_uploaded_image1_1717768426.jpg,150 ,15 000 000 CFA,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrain-150m-cite-apix-4730932,https://images.coinafrique.com/thumb_4730932_uploaded_image1_1715092794.jpg,150 m2,10 000 000 CFA,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-6lots-300m-saly-4750596,https://images.coinafrique.com/thumb_4750596_uploaded_image1_1716047336.jpg,300 m2,16 000 000 CFA,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-450m-mbour-4781117,https://images.coinafrique.com/thumb_4781117_uploaded_image1_1717599046.jpg,450 ,25 000 000 CFA,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/terrains/terrains-150m-mamelles-4733005,https://images.coinafrique.com/thumb_4733005_uploaded_image1_1715182904.jpg,150 ,100 000 000 CFA,"Mamelles, Dakar, Sénégal"
