Field1_links,nb_piece,nb_bains,superficie,adresse
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-almadies-4543595,6,12,,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-5-pieces-ouest-foire-4541240,3,6,150 ,"Ouest Foire, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-sicap-liberte-4541232,3,6,175 ,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-sacre-cur-4541236,,,,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villas-sicap-liberte-4541225,6,12,,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-castors-rufisque-4586494,3,6,180 m2,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-14-pieces-yoff-4538938,105,210,3500 ,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-4553256,,,,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-liberte-4-4538721,3,6,150 ,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-maison-meublee-senegal-4584806,,,,"Dakar Plateau, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-9-pieces-ngor-almadies-4540746,9,18,300 m2,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-almadie-4550927,,,,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-hann-bel-air-4574071,,,,"Hann Bel-Air, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-7-pieces-ngaparou-4583176,18,36,600 ,"Ngaparou, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-05-pieces-almadies-4534792,15,30,500 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villas-05-pieces-almadies-4534775,15,30,500 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-10-pieces-ngor-almadies-4534823,105,210,3500 ,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-mamelles-4534239,6,12,,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-4581085,,,,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-mamelles-4537857,6,12,250 ,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-r1-ngor-amadies-4580292,6,12,,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-04-pieces-mbao-4579917,3,6,150 ,"Mbao, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-08-pieces-cite-biagui-4535215,6,,250 ,"Yoff, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-almadies-4546689,6,12,,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-fann-4577998,30,60,1000 m2,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-keur-massar-4577978,3,6,157 ,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-senegal-4577953,30,60,1000 m2,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-ngor-4533360,0,0,12 ,"Ngor, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-sicap-liberte-2-4529300,6,12,,"Sicap Liberté, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-fatick-4577018,321,642,10785 ,"Fatick, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-06-pieces-mbour-4576291,6,12,250 ,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-04-pieces-saly-4576182,9,18,300 ,"Saly, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-fann-4575788,,,,"Fann, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-cite-africa-4527231,,,,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-9-pieces-almadies-4537983,15,30,500 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-dakar-plateau-4537791,30,60,1000 ,"Dakar Plateau, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-rufisque-4574699,3,6,150 m2,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4574254,,,,"Keur Massar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-10-pieces-point-e-4529772,6,,,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-dakar-plateau-4525679,30,60,1000 ,"Dakar Plateau, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-5-pieces-dakar-plateau-4525684,30,60,1000 m2,"Dakar Plateau, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-5-pieces-ndayane-4573342,12,24,400 ,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villas-8-pieces-guediawaye-4573336,3,6,192 ,"Guediawaye, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-4-pieces-keur-massar-4573066,,,,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-9-pieces-point-e-4572908,15,30,500 ,"Point E, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-mamelle-4572882,0,0,1 m2,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-3-pieces-somone-4572746,18,36,600 m2,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-simone-4572734,18,36,600 m2,"Mbour, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-4-pieces-mamelles-4524012,3,6,160 ,"Mamelles, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/location-villa-05-pieces-dakar-4571645,6,12,200 ,"Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-5-pieces-almadies-4522044,6,12,200 ,"Almadies, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-11-pieces-rufisque-4528275,,,,"Rufisque, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-maison-r1-kounoune-4568552,3,6,150 m2,"Sacré-Coeur, Dakar, Sénégal"
https://sn.coinafrique.com/annonce/villas/vente-villa-point-e-4523444,45,90,1569 ,"Point E, Dakar, Sénégal"
